slide_id,state,district,slide_name,slide_no,nh_sh_location,latitude,longitude,coordinate_valid,material_involved,movement_type,history,history_date,date_available,source
1,Assam,Hailakandi,Kukinala slide,ASM/HKN/83D07/2020/2,Kukinala,24.27,92.5,True,Debris,Slide,,,False,GSI Bhusanket
2,Assam,Hailakandi,Jalnachaura slide,AS/HKN/83D11/2020/1,Jalnachaura,24.31,92.56,True,Debris,Slide,,,False,GSI Bhusanket
3,Assam,Hailakandi,Nandagram slide,AS/HKN/83D10/2020/6,Nandagram Pt. I,24.32,92.51,True,Debris,Slide,,,False,GSI Bhusanket
4,Assam,Hailakandi,Nishkar slide,AS/HKN/83D11/2020/4,Mahapur,24.43,92.55,True,Debris,Slide,,,False,GSI Bhusanket
5,Assam,Karimganj,Paglacherra slide,AS/KRJ/83D07/2020/1,PaglacherraPunj,24.44,92.5,True,Rock,Slide,,,False,GSI Bhusanket
6,Assam,Hailakandi,Lalpani slide,AS/HKN/83D11/2020/3,NH - 154,24.44,92.56,True,Debris,Slide,,,False,GSI Bhusanket
7,Assam,Hailakandi,Garapunjislide,AS/HKN/83D11/2020/2,Telecherra,24.46,92.52,True,Debris,Slide,,,False,GSI Bhusanket
8,Assam,Hailakandi,Terracherra Slide,ASM/HLKD/83D10/2016/58,Terracherra area,24.478972,92.682861,True,Debris,Slide,17 May 2016,2016-05-17,True,GSI Bhusanket
9,Assam,Hailakandi,Maneshwarpur landslide,AS/HKN/83D07/2020/1,Maneshwarpur,24.48,92.49,True,Debris,Slide,,,False,GSI Bhusanket
10,Assam,Hailakandi,Kurttathal slide,AS/HKN/83D10/2020/7,Nunaikhal,24.51,92.64,True,Debris,Slide,,,False,GSI Bhusanket
11,Assam,Hailakandi,Dholaikhal slide,AS/HKN/83D10/2020/4,Inner Line Reserved Forest,24.51,92.75,True,Rock,Slide,,,False,GSI Bhusanket
12,Assam,Cachar,Bishnupur Puniyar Slide,AS/CHR/83D14/2020/3,Bishnupur Puniyar,24.51,92.9,True,Debris,Slide,,,False,GSI Bhusanket
13,Assam,Hailakandi,Barthal slide,AS/HKN/83D10/2020/5,Bilaipur,24.51,92.71,True,Debris,Slide,,,False,GSI Bhusanket
14,Assam,Hailakandi,Lalcherra Slide (Rabinala),ASM/HLKD/83D10/2016/59,"Near Patakhouri Durga Mandir 
Under  Bilaipur Forest Village; 
Lala  Police Station",24.511306,92.693028,True,Debris,Slide,18 May 2016,2016-05-18,True,GSI Bhusanket
15,Assam,Hailakandi,Ramchandi (Koyabasti),ASM/HLKD/83D10/2016/60,Ramchandi area,24.515944,92.540889,True,Earth,Slide,18 May 2016,2016-05-18,True,GSI Bhusanket
